aname,face.value,face.confidence,mood.value,mood.confidence,neutral_mood.value,neutral_mood.confidence,anger.value,anger.confidence,disgust.value,disgust.confidence,fear.value,fear.confidence,happiness.value,happiness.confidence,sadness.value,sadness.confidence,surprise.value,surprise.confidence
face-1117-5-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1117-1-Go.png,TRUE,57,scared,72,FALSE,0,FALSE,49,FALSE,0,TRUE,72,FALSE,1,FALSE,43,FALSE,21
face-1116-1-Go.png,TRUE,66,angry,51,FALSE,0,TRUE,51,FALSE,20,FALSE,0,FALSE,13,TRUE,50,FALSE,49
face-1115-1-Go.png,TRUE,56,surprised,87,FALSE,20,TRUE,71,TRUE,51,FALSE,0,FALSE,9,FALSE,37,TRUE,87
face-1114-5-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1114-1-Go.png,TRUE,55,angry,64,FALSE,0,TRUE,64,FALSE,0,FALSE,13,FALSE,0,FALSE,45,FALSE,21
face-1113-7-Go.png,TRUE,55,angry,100,FALSE,0,TRUE,100,FALSE,35,FALSE,0,FALSE,0,FALSE,18,FALSE,43
face-1113-1-Go.png,TRUE,62,surprised,37,FALSE,0,FALSE,19,FALSE,24,FALSE,0,FALSE,0,FALSE,1,FALSE,37
face-1112-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1111-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1109-3-Go.png,TRUE,57,angry,100,FALSE,0,TRUE,100,TRUE,51,FALSE,4,FALSE,0,FALSE,0,TRUE,65
face-1108-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1107-1-Go.png,TRUE,68,angry,100,FALSE,0,TRUE,100,FALSE,0,FALSE,0,FALSE,15,TRUE,51,TRUE,69
face-1106-2-Go.png,TRUE,51,surprised,92,FALSE,0,FALSE,18,FALSE,40,FALSE,35,FALSE,0,FALSE,35,TRUE,92
face-1105-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1100-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1099-2-Go.png,TRUE,64,sad,47,FALSE,12,FALSE,28,FALSE,29,FALSE,35,FALSE,8,FALSE,47,FALSE,47
face-1097-1-Go.png,TRUE,55,angry,72,FALSE,0,TRUE,72,TRUE,52,FALSE,25,FALSE,0,FALSE,0,FALSE,34
face-1096-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1095-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1094-2-Go.png,TRUE,69,sad,100,FALSE,0,FALSE,27,TRUE,53,FALSE,0,FALSE,0,TRUE,100,FALSE,18
face-1094-1-Go.png,TRUE,87,angry,55,FALSE,4,TRUE,55,FALSE,0,FALSE,34,FALSE,0,FALSE,10,FALSE,0
face-1084-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1083-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1081-1-Go.png,TRUE,52,surprised,67,FALSE,0,FALSE,24,FALSE,12,TRUE,61,FALSE,2,FALSE,22,TRUE,67
face-1080-1-Go.png,TRUE,57,sad,88,FALSE,0,FALSE,12,FALSE,30,FALSE,20,FALSE,0,TRUE,88,TRUE,74
face-1076-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1073-1-Go.png,TRUE,58,angry,85,FALSE,0,TRUE,85,TRUE,71,FALSE,16,FALSE,0,FALSE,13,TRUE,63
face-1072-1-Go.png,TRUE,52,angry,100,FALSE,0,TRUE,100,FALSE,0,FALSE,39,FALSE,1,FALSE,0,FALSE,38
face-1070-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1068-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1067-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1063-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1062-3-Go.png,TRUE,52,scared,60,FALSE,0,TRUE,50,TRUE,52,TRUE,60,FALSE,0,FALSE,24,FALSE,23
face-1061-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1060-1-Go.png,TRUE,52,surprised,87,FALSE,0,TRUE,66,TRUE,66,FALSE,14,FALSE,11,FALSE,0,TRUE,87
face-1059-3-Go.png,TRUE,61,angry,72,FALSE,4,TRUE,72,TRUE,61,FALSE,0,FALSE,0,FALSE,36,TRUE,53
face-1058-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1056-4-Go.png,TRUE,60,sad,70,FALSE,0,FALSE,41,TRUE,50,FALSE,1,FALSE,11,TRUE,70,FALSE,38
face-1053-1-Go.png,TRUE,75,disgusted,55,FALSE,7,FALSE,32,TRUE,55,FALSE,19,FALSE,0,FALSE,31,FALSE,21
face-1052-1-Go.png,TRUE,62,angry,81,FALSE,30,TRUE,81,FALSE,35,FALSE,41,FALSE,3,FALSE,0,FALSE,25
face-1051-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1044-1-Go.png,TRUE,60,surprised,44,FALSE,0,FALSE,21,FALSE,18,FALSE,0,FALSE,20,FALSE,0,FALSE,44
face-1043-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1042-2-Go.png,TRUE,58,angry,98,FALSE,9,TRUE,98,TRUE,59,FALSE,0,FALSE,2,TRUE,82,FALSE,47
face-1041-3-Go.png,TRUE,60,angry,100,FALSE,8,TRUE,100,FALSE,0,FALSE,27,FALSE,0,FALSE,9,FALSE,0
face-1039-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1038-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1037-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1036-1-Go.png,TRUE,62,angry,74,FALSE,0,TRUE,74,FALSE,4,FALSE,0,FALSE,0,FALSE,35,FALSE,46
face-1035-1-Go.png,TRUE,75,neutral,54,TRUE,54,FALSE,18,FALSE,0,FALSE,29,FALSE,0,FALSE,34,FALSE,0
face-1032-2-Go.png,TRUE,49,surprised,73,FALSE,0,FALSE,8,TRUE,53,TRUE,64,FALSE,0,FALSE,41,TRUE,73
face-1031-1-Go.png,TRUE,50,scared,76,FALSE,0,FALSE,14,TRUE,64,TRUE,76,FALSE,0,FALSE,23,TRUE,73
face-1030-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1180-1-Go.png,TRUE,65,sad,91,FALSE,0,FALSE,0,FALSE,13,TRUE,72,FALSE,8,TRUE,91,FALSE,31
face-1179-3-Go.png,TRUE,54,disgusted,70,FALSE,0,TRUE,65,TRUE,70,FALSE,33,FALSE,0,FALSE,10,TRUE,53
face-1176-5-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1178-2-Go.png,TRUE,58,angry,53,FALSE,0,TRUE,53,FALSE,46,FALSE,48,FALSE,0,FALSE,43,FALSE,38
face-1176-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1029-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1176-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1026-1-Go.png,TRUE,58,surprised,80,FALSE,0,TRUE,53,TRUE,74,FALSE,0,FALSE,9,FALSE,0,TRUE,80
face-1173-1-Go.png,TRUE,56,scared,62,FALSE,0,FALSE,13,TRUE,53,TRUE,62,FALSE,0,FALSE,0,TRUE,58
face-1175-6-Go.png,TRUE,52,disgusted,66,FALSE,0,TRUE,64,TRUE,66,FALSE,0,FALSE,0,FALSE,22,TRUE,56
face-1174-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1172-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1175-1-Go.png,TRUE,70,disgusted,47,FALSE,32,FALSE,11,FALSE,47,FALSE,12,FALSE,12,FALSE,0,FALSE,35
face-1170-1-Go.png,TRUE,61,disgusted,97,FALSE,0,FALSE,0,TRUE,97,TRUE,61,FALSE,0,TRUE,63,FALSE,44
face-1167-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1171-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1166-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1165-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1024-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1163-1-Go.png,TRUE,80,surprised,42,FALSE,25,FALSE,0,FALSE,25,FALSE,32,FALSE,0,FALSE,16,FALSE,42
face-1152-1-Go.png,TRUE,61,surprised,63,FALSE,0,FALSE,45,FALSE,42,FALSE,0,FALSE,3,FALSE,40,TRUE,63
face-1155-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1153-1-Go.png,TRUE,65,surprised,54,FALSE,10,FALSE,32,FALSE,31,FALSE,0,FALSE,1,FALSE,47,TRUE,54
face-1157-1-Go.png,TRUE,62,disgusted,65,FALSE,26,FALSE,41,TRUE,65,TRUE,51,FALSE,0,FALSE,34,TRUE,57
face-1158-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1156-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1162-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1159-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1149-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1021-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1147-3-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1147-2-Go.png,TRUE,57,angry,90,FALSE,0,TRUE,90,FALSE,38,FALSE,2,FALSE,7,FALSE,46,FALSE,30
face-1148-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1011-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1144-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1145-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-999-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-995-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-986-1-Go.png,TRUE,68,surprised,58,FALSE,0,FALSE,0,TRUE,54,FALSE,0,FALSE,17,TRUE,52,TRUE,58
face-999-3-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1146-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-985-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-982-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1010-1-Go.png,TRUE,56,surprised,60,FALSE,0,TRUE,53,FALSE,49,FALSE,19,FALSE,0,FALSE,14,TRUE,60
face-984-1-Go.png,TRUE,49,disgusted,64,FALSE,0,FALSE,0,TRUE,64,TRUE,54,FALSE,0,FALSE,18,FALSE,30
face-971-1-Go.png,TRUE,61,angry,79,FALSE,26,TRUE,79,FALSE,47,FALSE,0,FALSE,0,FALSE,34,FALSE,35
face-1009-1-Go.png,TRUE,67,disgusted,55,FALSE,0,FALSE,31,TRUE,55,FALSE,0,FALSE,21,FALSE,38,TRUE,54
face-963-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-966-5-Go.png,TRUE,60,surprised,65,FALSE,0,TRUE,53,TRUE,52,FALSE,0,FALSE,0,FALSE,16,TRUE,65
face-961-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-967-3-Go.png,TRUE,60,sad,58,FALSE,0,FALSE,25,FALSE,15,TRUE,51,FALSE,1,TRUE,58,TRUE,55
face-960-3-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-962-1-Go.png,TRUE,60,sad,80,FALSE,0,FALSE,0,TRUE,55,FALSE,4,FALSE,6,TRUE,80,FALSE,8
face-958-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-970-1-Go.png,TRUE,68,angry,82,TRUE,63,TRUE,82,TRUE,61,FALSE,0,FALSE,0,FALSE,0,FALSE,19
face-959-2-Go.png,TRUE,53,angry,92,FALSE,0,TRUE,92,TRUE,54,FALSE,0,FALSE,0,TRUE,70,FALSE,45
face-957-2-Go.png,TRUE,52,angry,100,FALSE,0,TRUE,100,FALSE,19,FALSE,0,FALSE,2,FALSE,0,FALSE,45
