"file","mid","description","score"
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0029.png","/m/07bs0","tennis",0.97066295
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0029.png","/m/02xhr73","tennis player",0.9375
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0029.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0030.png","/m/06ntj","sports",0.98491895
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0030.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0030.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0030.png","/m/07bs0","tennis",0.796419
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0030.png","/m/012sbd","tournament",0.51644737
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0031.png","/m/06ntj","sports",0.98428041
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0031.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0031.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0031.png","/m/07jbh","table tennis",0.68802321
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0031.png","/m/0541p","multimedia",0.61714375
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0032.png","/m/06ntj","sports",0.98439181
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0032.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0032.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0032.png","/m/07bs0","tennis",0.81764406
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0033.png","/m/06ntj","sports",0.98555565
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0033.png","/m/07bs0","tennis",0.97181016
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0033.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0033.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0034.png","/m/06ntj","sports",0.98528063
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0034.png","/m/07bs0","tennis",0.971777
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0034.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0034.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0035.png","/m/06ntj","sports",0.98551917
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0035.png","/m/07bs0","tennis",0.97160369
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0035.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0035.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0036.png","/m/06ntj","sports",0.98584652
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0036.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0036.png","/m/07jbh","table tennis",0.9034273
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0036.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0037.png","/m/06ntj","sports",0.98575723
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0037.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0037.png","/m/07bs0","tennis",0.9246133
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0037.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0038.png","/m/06ntj","sports",0.95235318
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0038.png","/m/02vzx9","player",0.93735057
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0038.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0038.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0038.png","/m/01445t","athlete",0.87630814
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0039.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0039.png","/m/01445t","athlete",0.87630814
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0039.png","/m/07bs0","tennis",0.56903625
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0039.png","/m/03qpft","podium",0.56264567
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0039.png","/m/06ntj","sports",0.56214714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0040.png","/m/06ntj","sports",0.98079425
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0040.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0040.png","/m/05kc29","combat sport",0.72721791
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0040.png","/m/03fyrh","greco roman wrestling",0.6750508
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0040.png","/m/0849l","weightlifting",0.63934982
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0041.png","/m/06ntj","sports",0.97848755
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0041.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0041.png","/m/03fyrh","greco roman wrestling",0.6319024
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0042.png","/m/06ntj","sports",0.95847535
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0042.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0043.png","/m/06ntj","sports",0.98547471
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0043.png","/m/07bs0","tennis",0.97185624
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0043.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0043.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0044.png","/m/06ntj","sports",0.985647
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0044.png","/m/07bs0","tennis",0.97171593
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0044.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0044.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0045.png","/m/06ntj","sports",0.98510671
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0045.png","/m/07bs0","tennis",0.97168392
