"file","mid","description","score","boundingPoly.x1","boundingPoly.x2","boundingPoly.x3","boundingPoly.x4","boundingPoly.y1","boundingPoly.y2","boundingPoly.y3","boundingPoly.y4"
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0001.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0002.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0003.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0004.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0005.png","/m/0p58j","Australian Open Tennis Tournament",0.25875664,41,146,146,41,45,45,143,143
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0006.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0007.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0008.png",NA,"Australian Open Tennis Tournament",0.26363221,64,146,146,64,44,44,143,143
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0009.png","/m/0p58j","Australian Open Tennis Tournament",0.29529595,37,109,109,37,48,48,140,140
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0009.png","/g/12hqp0p72","Kia",0.22155905,461,580,580,461,187,187,254,254
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0009.png","/m/0by16yq","Square, Inc.",0.17830423,468,619,619,468,162,162,253,253
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0010.png","/m/0p58j","Australian Open Tennis Tournament",0.37118056,37,96,96,37,48,48,138,138
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0011.png","/m/0p58j","Australian Open Tennis Tournament",0.43488443,37,87,87,37,48,48,138,138
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0012.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0013.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0014.png","/m/0p58j","Australian Open Tennis Tournament",0.3112964,37,567,567,37,50,50,408,408
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0015.png","/m/0p58j","Australian Open Tennis Tournament",0.37684393,37,83,83,37,68,68,138,138
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0016.png","/m/0p58j","Australian Open Tennis Tournament",0.42921397,37,93,93,37,69,69,144,144
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0017.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0018.png","/m/0p58j","Australian Open Tennis Tournament",0.37418532,37,109,109,37,74,74,140,140
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0019.png","/m/0p58j","Australian Open Tennis Tournament",0.36100248,41,93,93,41,48,48,136,136
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0020.png","/m/0p58j","Australian Open Tennis Tournament",0.1968465,49,81,81,49,48,48,107,107
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0021.png","/m/0p58j","Australian Open Tennis Tournament",0.42909163,35,111,111,35,329,329,426,426
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0022.png","/m/0p58j","Australian Open Tennis Tournament",0.33822769,49,96,96,49,44,44,107,107
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0023.png","/m/0p58j","Australian Open Tennis Tournament",0.27619424,56,96,96,56,44,44,82,82
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0024.png","/m/0p58j","Australian Open Tennis Tournament",0.32764125,41,109,109,41,69,69,140,140
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0025.png","/m/0p58j","Australian Open Tennis Tournament",0.43101537,37,112,112,37,43,43,143,143
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0025.png","/m/01_1kk","Paris Saint-Germain F.C.",0.40341356,698,780,780,698,302,302,354,354
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0026.png","/m/03s14w","ANZ",0.17385906,554,582,582,554,39,39,49,49
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0027.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0028.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0029.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0030.png","/m/03s14w","ANZ",0.15398942,554,582,582,554,39,39,49,49
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0031.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_CGarcia_FRA_vs_BStrycova_CZE_WS145_clip.0032.png","/m/0p58j","Australian Open Tennis Tournament",0.39498994,41,121,121,41,54,54,145,145
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0001.png","/m/011_65","Emirates",0.48386598,675,787,787,675,344,344,387,387
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0001.png","/m/0p58j","Australian Open Tennis Tournament",0.48216772,41,113,113,41,50,50,140,140
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0002.png","/m/011_65","Emirates",0.49909931,626,757,757,626,332,332,398,398
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0002.png","/m/0p58j","Australian Open Tennis Tournament",0.36979228,37,109,109,37,69,69,144,144
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0003.png","/m/01_1kk","Paris Saint-Germain F.C.",0.48810384,636,722,722,636,321,321,379,379
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0003.png","/m/0r3sc6_","Australian Open Tennis Tournament",0.46325326,37,113,113,37,50,50,139,139
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0004.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0005.png","/g/11bbrmhp7y","ANZ",0.16384427,544,579,579,544,42,42,51,51
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0006.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0007.png",NA,"ANZ",0.16718976,544,579,579,544,42,42,51,51
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0008.png","/m/0p58j","Australian Open Tennis Tournament",0.43194681,48,146,146,48,45,45,143,143
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0009.png","/m/0p58j","Australian Open Tennis Tournament",0.44914529,41,113,113,41,25,25,137,137
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0010.png","/m/0p58j","Australian Open Tennis Tournament",0.40134296,37,113,113,37,25,25,138,138
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0011.png","/m/0p58j","Australian Open Tennis Tournament",0.41735983,37,113,113,37,74,74,146,146
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0012.png","/m/0p58j","Australian Open Tennis Tournament",0.433491,41,113,113,41,25,25,136,136
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0013.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0014.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0015.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0016.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0017.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0018.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0019.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0020.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0021.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
